x 	 y
29.6 	 1.36212
29.7 	 1.38014
29.8 	 1.39454
29.9 	 1.4052
30 	 1.412
30.1 	 1.41489
30.2 	 1.41383
30.3 	 1.40884
30.4 	 1.39996
30.5 	 1.38728
30.6 	 1.37092
30.7 	 1.35104
30.8 	 1.32784
30.9 	 1.30154
31 	 1.2724
31.1 	 1.24069
31.2 	 1.20674
31.3 	 1.17086
31.4 	 1.13341
