x	y
0	1
0.82673	0.67728
1.6535	-0.082579
2.4802	-0.78914
3.3069	-0.98636
4.1337	-0.54695
4.9604	0.24549
5.7871	0.87947
6.6139	0.94582
7.4406	0.4017
8.2673	-0.4017
9.0941	-0.94582
9.9208	-0.87947
10.748	-0.24549
11.574	0.54695
12.401	0.98636
13.228	0.78914
14.054	0.082579
14.881	-0.67728
15.708	-1


z	spline	int_spline	cos(z)
15.075	-0.75309	0.55445	0.59119
15.181	-0.79424	0.47288	0.50304
15.286	-0.83539	0.38698	0.4093
15.392	-0.87654	0.29675	0.31102
15.497	-0.9177	0.20217	0.20929
15.603	-0.95885	0.10325	0.10523
15.708	-1	4.4409e-16	6.1232e-16


z	qspline	qspline_int	qspline_deriv
0	1	0	-4.4409e-16
0.10542	0.99475	0.10524	-0.099553
0.21085	0.97901	0.20937	-0.19911
0.31627	0.95277	0.31129	-0.29866
0.42169	0.91604	0.40989	-0.39821
0.52711	0.86881	0.50406	-0.49777
0.63254	0.81109	0.5927	-0.59732
0.73796	0.74287	0.67471	-0.69687
0.84338	0.66424	0.74897	-0.78628
0.9488	0.57949	0.81456	-0.82158
1.0542	0.49101	0.87102	-0.85688
1.1596	0.39882	0.91795	-0.89217
1.2651	0.3029	0.95498	-0.92747
1.3705	0.20327	0.98169	-0.96277
1.4759	0.099909	0.9977	-0.99807
1.5813	-0.0071705	1.0026	-1.0334
1.6868	-0.11751	0.99607	-1.0412
1.7922	-0.22455	0.97799	-0.98944
1.8976	-0.32613	0.94891	-0.9377
2.003	-0.42226	0.90942	-0.88596
2.1085	-0.51293	0.86007	-0.83422
2.2139	-0.59815	0.80146	-0.78248
2.3193	-0.67791	0.73415	-0.73074
2.4247	-0.75222	0.65872	-0.679
2.5301	-0.82044	0.57575	-0.60185
2.6356	-0.87833	0.48611	-0.49646
2.741	-0.92512	0.39095	-0.39108
2.8464	-0.96079	0.29144	-0.2857
2.9518	-0.98536	0.18876	-0.18032
3.0573	-0.99881	0.084071	-0.074933
3.1627	-1.0012	-0.021447	0.03045
3.2681	-0.99239	-0.12663	0.13583
3.3735	-0.97282	-0.2303	0.23214
3.4789	-0.94355	-0.3314	0.32314
3.5844	-0.90469	-0.42891	0.41415
3.6898	-0.85623	-0.52181	0.50516
3.7952	-0.79817	-0.6091	0.59617
3.9006	-0.73053	-0.68977	0.68718
4.0061	-0.65329	-0.7628	0.77818
4.1115	-0.56645	-0.82717	0.86919
4.2169	-0.47242	-0.88196	0.90248
4.3223	-0.37634	-0.92671	0.92037
4.4277	-0.27837	-0.96124	0.93826
4.5332	-0.17851	-0.98534	0.95616
4.6386	-0.076768	-0.99881	0.97405
4.744	0.026862	-1.0015	0.99194
4.8494	0.13238	-0.99308	1.0098
4.9549	0.23978	-0.97348	1.0277
5.0603	0.34506	-0.94259	0.96541
5.1657	0.44332	-0.90098	0.89864
5.2711	0.53454	-0.84937	0.83187
5.3766	0.61872	-0.78852	0.7651
5.482	0.69586	-0.71916	0.69833
5.5874	0.76596	-0.64205	0.63156
5.6928	0.82902	-0.55791	0.56479
5.7982	0.88502	-0.4675	0.49364
5.9037	0.93135	-0.37166	0.3853
6.0091	0.96625	-0.27153	0.27697
6.1145	0.98974	-0.16833	0.16863
6.2199	1.0018	-0.063251	0.060291
6.3254	1.0025	0.042497	-0.048047
6.4308	0.99168	0.14771	-0.15639
6.5362	0.96948	0.25119	-0.26472
6.6416	0.93597	0.35172	-0.3656
6.747	0.89321	0.44821	-0.44558
6.8525	0.84202	0.53975	-0.52556
6.9579	0.7824	0.62545	-0.60554
7.0633	0.71434	0.70442	-0.68552
7.1687	0.63786	0.77577	-0.7655
7.2742	0.55294	0.83861	-0.84548
7.3796	0.45959	0.89206	-0.92546
7.485	0.35856	0.93523	-0.97176
7.5904	0.25611	0.96763	-0.97176
7.6958	0.15367	0.98923	-0.97176
7.8013	0.051223	1	-0.97176
7.9067	-0.051223	1	-0.97176
8.0121	-0.15367	0.98923	-0.97176
8.1175	-0.25611	0.96763	-0.97176
8.223	-0.35856	0.93523	-0.97176
8.3284	-0.45959	0.89206	-0.92546
8.4338	-0.55294	0.83861	-0.84548
8.5392	-0.63786	0.77577	-0.7655
8.6447	-0.71434	0.70442	-0.68552
8.7501	-0.7824	0.62545	-0.60554
8.8555	-0.84202	0.53975	-0.52556
8.9609	-0.89321	0.44821	-0.44558
9.0663	-0.93597	0.35172	-0.3656
9.1718	-0.96948	0.25119	-0.26472
9.2772	-0.99168	0.14771	-0.15639
9.3826	-1.0025	0.042497	-0.048047
9.488	-1.0018	-0.063251	0.060291
9.5935	-0.98974	-0.16833	0.16863
9.6989	-0.96625	-0.27153	0.27697
9.8043	-0.93135	-0.37166	0.3853
9.9097	-0.88502	-0.4675	0.49364
10.015	-0.82902	-0.55791	0.56479
10.121	-0.76596	-0.64205	0.63156
10.226	-0.69586	-0.71916	0.69833
10.331	-0.61872	-0.78852	0.7651
